"Project Name","Domain","Operators","Number of Faults"
"abixen-platform","Abixen Platform","RMA","1"
"achieve-lib-api","A set of projects that works as a lib for a variety of projects.","RPAV","1"
"Achilles","An advanced Java Object Mapper/Query DSL generator for Cassandra","RPAV","1"
"actframework","An easy to use Java MVC server stack","CHODR, ADA","6"
"ametiste-metrics","Library for metric gathering and registering","ADA","1"
"android-state","A utility library for Android to save objects in a Bundle without any boilerplate.","ADA","1"
"arquillian-cube","Control (docker, kubernetes, openshift) containers in your tests with ease!","ADA","1"
"BatooJPA","Batoo JPA - Fastest JPA Implementation Ever! Over 15 times faster than the leading JPA implementations.","SWTG, ADA","3"
"bazel","a fast, scalable, multi-language and extensible build system","RPAV","1"
"blaze-persistence","Rich Criteria API for JPA providers","ADA","1"
"cas","Apereo CAS - Enterprise Single Sign On for all earthlings and beyond.","RMA","1"
"cofoja","Contracts for Java","ADA","1"
"concordion","Concordion is an open source framework for Java that lets you turn a plain English description of a requirement into an automated test.  Concordion is the most flexible tool for creating high-quality living documentation. It is often used with Specification by Example (SbE) and Behaviour Driven Development (BDD) processes.","ADA","1"
"crux","No description provided.","RPAV, ADA","2"
"damapping","DA Mapping Framework","ADA","2"
"docdoku-plm","The project purpose is to develop a comprehensive, robust open source PLM (Product LifeCycle Management) solution.","RPAV","1"
"dropwizard","A damn simple library for building production-ready RESTful web services.","RMA, ADA","5"
"druid","Apache Druid (Incubating) - Column oriented distributed data store ideal for powering interactive applications","RMA","1"
"eFapsApp-Commons","No description provided.","RPA","1"
"elasticsearch","Open Source, Distributed, RESTful Search Engine","RMA","1"
"elide","Elide is a Java library that lets you stand up a GraphQL/JSON-API web service with minimal effort.","RMA","1"
"enunciate","Build-time enhancement tool for Java-based Web services projects","RMA, ADA","3"
"ff4j","Feature Flags for Java made easy","ADA","1"
"flow","Flow is a Java framework binding Vaadin web components to Java. This is part of the Vaadin platform 10+.","ADA","1"
"framework","Vaadin 6, 7, 8   is a Java framework for modern web applications.","ADA","4"
"fscrawler","Elasticsearch File System Crawler (FS Crawler)","ADA","1"
"gatk","Official code repository for GATK versions 4 and up","ADA","1"
"genie","Distributed Big Data Orchestration Service","RPAV","2"
"guava","Google core libraries for Java","ADA","1"
"gwtquery","A jQuery clone for GWT, and much more.","RMA, RPAV","2"
"hibernate-hydrate","Avoid Hibernate LazyInitializationException by recursively resolving proxy","","1"
"jDTO-Binder","DTO framework for the java platform.","ADAT, ADA","2"
"LoganSquare","Screaming fast JSON parsing and serialization library for Android.","ADA","2"
"mapstruct","An annotation processor for generating type-safe bean mappers","ADA","4"
"material-dialogs","[Version 2 is now a RC] A beautiful and fluid dialogs API for Kotlin & Android.","RPAV","1"
"needle","Effective Unit Testing for Java EE","RMA","1"
"netty","Netty project - an event-driven asynchronous network application framework","RMA","1"
"NotRetrofit","Type-safe REST client for Android and Java","ADA","1"
"org.parallelj","ParallelJ-Runtime is a part of the ParallelJ project corresponding to the runtime part (obviously). It contains the execution engine, and all runtime related components. More information can be found on our website: http://www.parallelj.org","RPAV","1"
"Pericopist","Generates message catalogs.","RPAV","2"
"podam","PODAM - POjo DAta Mocker","ADA","1"
"presto","Distributed SQL query engine for big data","RMA","2"
"qbit","The Java microservice lib. QBit is a reactive programming lib for building microservices - JSON, HTTP, WebSocket, and REST. QBit uses reactive programming to build elastic REST, and WebSockets based cloud friendly, web services. SOA evolved for mobile and cloud.  ServiceDiscovery, Health, reactive StatService, events, Java idiomatic reactive programming for Microservices.","ADA","1"
"riak-java-client","The Riak client for Java.","ADA","2"
"RoboSpock","A testing framework which brings powers of Spock and Groovy to Android app testing","CHODR","1"
"smarthome","Eclipse SmartHome™ project","RPA","1"
"sniffy","Sniffy - hipster open-source interactive profiler for Java","ADAT","1"
"spring","Spring integration for Vaadin","ADA","1"
"spring-boot","Spring Boot","RMAT, RPAV","2"
"spring-cloud-config","External configuration (server and client) for Spring Cloud","","1"
"spring-cloud-consul","Spring Cloud Consul","ADA","1"
"spring-data-jest","Spring Data Implementation for Jest","ADA","1"
"spring-security","Spring Security","RPAV","1"
"springlets","Springlets provides a series of heterogeneus small utilities for Spring based applications and Spring Boot starters not available in the main Spring projects: Spring Framework, Spring Data, Spring Boot, ...","ADA","1"
"stag-java","Speedy Type Adapter Generation","ADA","1"
"swagger4spring-web","Swagger support for Spring MVC","ADAT","3"
"teasy","Test easy with Teasy - UI automation testing framework","ADA","1"
"thindeck","Web Hosting That Deploys Itself","RMA","2"
"transfuse",":syringe: Transfuse - A Dependency Injection and Integration framework for Google Android","ADA","1"
"vertx-mongo-client","Mongo Client for Eclipse Vert.x","RMA","1"
"video-recorder-java","This library allows easily record video of your UI tests by just putting couple annotations.","RPAV","1"
"vraptor","Simple Java Web MVC Framework","ADA","1"
"vraptor4","A web MVC action-based framework, on top of CDI, for fast and maintainable Java development.","ADA","1"
"wildfly-camel","WildFly Camel Subsystem","ADA","1"
"wisdom","A modular and dynamic web framework","ADA","2"
"xstream","Serialize Java objects to XML and back again.","ADAT, ADA","2"
"TOTAL","","","100"
